Desk ID,Seat ID,Start Time,End Time,Duration (Minutes),Peak Time Occupancy
1,2,29/11/2023 21:53,30/11/2023 01:30,217,false
2,1,07/12/2023 06:48,07/12/2023 09:43,175,true
1,1,30/11/2023 18:28,30/11/2023 21:29,181,true
4,1,07/12/2023 16:43,07/12/2023 19:25,162,false
2,3,10/12/2023 12:47,10/12/2023 14:44,117,true
1,2,06/12/2023 06:01,06/12/2023 06:54,53,false
2,1,03/12/2023 07:19,03/12/2023 07:34,15,false
3,1,30/11/2023 19:26,30/11/2023 21:31,125,false
6,1,13/12/2023 08:49,13/12/2023 11:01,132,false
1,2,08/12/2023 11:58,08/12/2023 12:41,43,true
2,1,06/12/2023 15:21,06/12/2023 16:20,59,false
1,1,11/12/2023 16:15,11/12/2023 17:46,91,false
4,1,10/12/2023 22:27,11/12/2023 02:08,221,true
1,3,11/12/2023 21:36,12/12/2023 00:25,169,false
4,2,08/12/2023 09:11,08/12/2023 12:46,215,false
2,4,08/12/2023 01:53,08/12/2023 02:37,44,true
1,3,02/12/2023 11:26,02/12/2023 13:30,124,true
2,3,02/12/2023 00:42,02/12/2023 03:53,191,false
1,2,13/12/2023 11:02,13/12/2023 14:04,182,false
2,1,09/12/2023 08:05,09/12/2023 09:47,102,true
6,2,07/12/2023 02:50,07/12/2023 06:31,221,true
1,1,03/12/2023 16:22,03/12/2023 19:26,184,false
4,1,29/11/2023 21:43,29/11/2023 22:06,23,false
3,1,05/12/2023 03:06,05/12/2023 03:57,51,true
6,1,10/12/2023 01:06,10/12/2023 04:55,229,true
1,2,03/12/2023 17:49,03/12/2023 19:43,114,false
2,1,05/12/2023 17:44,05/12/2023 20:39,175,true
1,4,01/12/2023 09:14,01/12/2023 13:11,237,true
2,3,02/12/2023 01:37,02/12/2023 03:30,113,true
1,1,04/12/2023 19:15,04/12/2023 19:58,43,false
4,1,11/12/2023 10:04,11/12/2023 12:22,138,true
1,2,04/12/2023 02:34,04/12/2023 03:08,34,false
2,1,30/11/2023 20:40,30/11/2023 22:37,117,true
3,2,10/12/2023 12:03,10/12/2023 13:42,99,true
4,3,02/12/2023 03:25,02/12/2023 07:08,223,false
6,2,02/12/2023 01:35,02/12/2023 05:11,216,true
1,3,12/12/2023 04:22,12/12/2023 06:34,132,false
4,2,30/11/2023 22:08,30/11/2023 23:53,105,true
1,2,06/12/2023 08:49,06/12/2023 09:56,67,false
2,1,02/12/2023 19:28,02/12/2023 22:13,165,false
3,1,06/12/2023 06:00,06/12/2023 08:33,153,false
6,1,08/12/2023 07:46,08/12/2023 09:31,105,false
1,1,29/11/2023 21:09,30/11/2023 00:12,183,false
4,1,07/12/2023 01:19,07/12/2023 01:51,32,true
3,3,11/12/2023 14:52,11/12/2023 16:25,93,true
2,4,10/12/2023 04:37,10/12/2023 08:01,204,false
1,3,01/12/2023 00:04,01/12/2023 03:32,208,false
2,3,08/12/2023 08:22,08/12/2023 11:27,185,true
1,2,04/12/2023 21:00,05/12/2023 00:23,203,false
2,1,09/12/2023 14:11,09/12/2023 14:26,15,false
2,2,04/12/2023 11:37,04/12/2023 11:58,21,true
6,2,07/12/2023 20:05,07/12/2023 21:34,89,false
1,1,01/12/2023 15:21,01/12/2023 17:14,113,false
4,1,02/12/2023 17:48,02/12/2023 20:59,191,false
1,2,30/11/2023 13:28,30/11/2023 14:02,34,true
2,1,09/12/2023 03:26,09/12/2023 07:01,215,true
3,4,12/12/2023 10:54,12/12/2023 14:34,220,true
2,3,02/12/2023 04:36,02/12/2023 04:55,19,false
3,1,09/12/2023 23:57,10/12/2023 03:49,232,true
6,1,04/12/2023 03:34,04/12/2023 06:52,198,true
1,2,07/12/2023 10:18,07/12/2023 13:19,181,true
2,1,29/11/2023 20:24,29/11/2023 22:17,113,true
7,3,04/12/2023 22:07,05/12/2023 01:33,206,false
1,4,01/12/2023 20:37,01/12/2023 23:11,154,true
1,3,29/11/2023 17:40,29/11/2023 19:35,115,false
4,2,07/12/2023 02:21,07/12/2023 05:24,183,false
1,1,03/12/2023 18:33,03/12/2023 20:02,89,true
4,1,04/12/2023 15:53,04/12/2023 16:38,45,true
1,4,13/12/2023 01:15,13/12/2023 03:31,136,true
1,2,11/12/2023 08:23,11/12/2023 10:45,142,true
2,1,07/12/2023 07:50,07/12/2023 08:37,47,true
4,4,12/12/2023 07:55,12/12/2023 10:32,157,false
1,6,08/12/2023 15:56,08/12/2023 17:34,98,false
